run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk1305_r1_20260411_102557,1305,1305,1319.1026,5.5977,27.0793,151.5807,data\raw\memory\logs\34_Element-wise Operations\clk1305_r1_20260411_102557_power.csv
clk1305_r2_20260411_102611,1305,1305,1325.4545,5.6002,26.6986,149.5178,data\raw\memory\logs\34_Element-wise Operations\clk1305_r2_20260411_102611_power.csv
clk1305_r3_20260411_102626,1305,1305,1318.6364,5.5982,26.6083,148.9600,data\raw\memory\logs\34_Element-wise Operations\clk1305_r3_20260411_102626_power.csv
clk1245_r1_20260411_102642,1245,1245,1260.0000,5.5991,26.6519,149.2271,data\raw\memory\logs\34_Element-wise Operations\clk1245_r1_20260411_102642_power.csv
clk1245_r2_20260411_102656,1245,1245,1267.1250,5.5994,26.3676,147.6416,data\raw\memory\logs\34_Element-wise Operations\clk1245_r2_20260411_102656_power.csv
clk1245_r3_20260411_102711,1245,1245,1266.5854,5.5991,26.2504,146.9794,data\raw\memory\logs\34_Element-wise Operations\clk1245_r3_20260411_102711_power.csv
clk1185_r1_20260411_102728,1185,1185,1200.8824,5.5817,25.8592,144.3375,data\raw\memory\logs\34_Element-wise Operations\clk1185_r1_20260411_102728_power.csv
clk1185_r2_20260411_102742,1185,1185,1208.2377,5.6006,26.1322,146.3552,data\raw\memory\logs\34_Element-wise Operations\clk1185_r2_20260411_102742_power.csv
clk1185_r3_20260411_102757,1185,1185,1200.6198,5.5992,25.7684,144.2824,data\raw\memory\logs\34_Element-wise Operations\clk1185_r3_20260411_102757_power.csv
clk1065_r1_20260411_102814,1065,1065,1083.2051,5.6025,25.7366,144.1884,data\raw\memory\logs\34_Element-wise Operations\clk1065_r1_20260411_102814_power.csv
clk1065_r2_20260411_102828,1065,1065,1091.4050,5.6060,25.3476,142.0975,data\raw\memory\logs\34_Element-wise Operations\clk1065_r2_20260411_102828_power.csv
clk1065_r3_20260411_102843,1065,1065,1091.1885,5.6017,25.4137,142.3595,data\raw\memory\logs\34_Element-wise Operations\clk1065_r3_20260411_102843_power.csv
clk1005_r1_20260411_102859,1005,1005,1024.2308,5.4872,25.6987,141.0144,data\raw\memory\logs\34_Element-wise Operations\clk1005_r1_20260411_102859_power.csv
