run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,runtime_s,avg_power_w,energy_j,log_path
clk1845_r3_20260411_094945,1845,1845,1854.8276,3.8041,30.3692,115.5266,data\raw\memory\logs\33_Large Tensor Copy\clk1845_r3_20260411_094945_power.csv
clk1785_r1_20260411_094958,1785,1785,1792.9310,3.8060,29.7249,113.1322,data\raw\memory\logs\33_Large Tensor Copy\clk1785_r1_20260411_094958_power.csv
clk1785_r2_20260411_095009,1785,1785,1796.8966,3.8052,29.3691,111.7566,data\raw\memory\logs\33_Large Tensor Copy\clk1785_r2_20260411_095009_power.csv
clk1785_r3_20260411_095020,1785,1785,1792.8409,3.8050,29.3635,111.7274,data\raw\memory\logs\33_Large Tensor Copy\clk1785_r3_20260411_095020_power.csv
clk1725_r1_20260411_095033,1725,1725,1734.6429,3.8061,29.5201,112.3569,data\raw\memory\logs\33_Large Tensor Copy\clk1725_r1_20260411_095033_power.csv
clk1725_r2_20260411_095043,1725,1725,1734.4186,3.8054,29.4699,112.1434,data\raw\memory\logs\33_Large Tensor Copy\clk1725_r2_20260411_095043_power.csv
clk1725_r3_20260411_095054,1725,1725,1738.8068,3.8064,29.0284,110.4945,data\raw\memory\logs\33_Large Tensor Copy\clk1725_r3_20260411_095054_power.csv
clk1665_r1_20260411_095107,1665,1665,1675.9412,3.8062,28.6136,108.9080,data\raw\memory\logs\33_Large Tensor Copy\clk1665_r1_20260411_095107_power.csv
clk1665_r2_20260411_095118,1665,1665,1675.6897,3.8063,28.2439,107.5045,data\raw\memory\logs\33_Large Tensor Copy\clk1665_r2_20260411_095118_power.csv
clk1665_r3_20260411_095128,1665,1665,1680.8523,3.8065,28.4057,108.1269,data\raw\memory\logs\33_Large Tensor Copy\clk1665_r3_20260411_095128_power.csv
clk1605_r1_20260411_095141,1605,1605,1617.6506,3.8075,28.2094,107.4083,data\raw\memory\logs\33_Large Tensor Copy\clk1605_r1_20260411_095141_power.csv
clk1605_r2_20260411_095152,1605,1605,1617.0690,3.8064,27.5592,104.9009,data\raw\memory\logs\33_Large Tensor Copy\clk1605_r2_20260411_095152_power.csv
clk1605_r3_20260411_095203,1605,1605,1622.8977,3.8045,28.0651,106.7729,data\raw\memory\logs\33_Large Tensor Copy\clk1605_r3_20260411_095203_power.csv
clk1545_r1_20260411_095216,1545,1545,1558.9286,3.8074,27.5195,104.7787,data\raw\memory\logs\33_Large Tensor Copy\clk1545_r1_20260411_095216_power.csv
clk1545_r2_20260411_095226,1545,1545,1558.6047,3.8074,27.1395,103.3303,data\raw\memory\logs\33_Large Tensor Copy\clk1545_r2_20260411_095226_power.csv
clk1545_r3_20260411_095237,1545,1545,1558.2955,3.8054,27.3003,103.8877,data\raw\memory\logs\33_Large Tensor Copy\clk1545_r3_20260411_095237_power.csv
clk1485_r1_20260411_095250,1485,1485,1500.5422,3.8081,27.1290,103.3091,data\raw\memory\logs\33_Large Tensor Copy\clk1485_r1_20260411_095250_power.csv
clk1485_r2_20260411_095300,1485,1485,1506.9886,3.8058,26.8311,102.1133,data\raw\memory\logs\33_Large Tensor Copy\clk1485_r2_20260411_095300_power.csv
clk1485_r3_20260411_095311,1485,1485,1506.9886,3.8085,26.8525,102.2665,data\raw\memory\logs\33_Large Tensor Copy\clk1485_r3_20260411_095311_power.csv
clk1425_r1_20260411_095324,1425,1425,1441.7857,3.8065,26.7949,101.9945,data\raw\memory\logs\33_Large Tensor Copy\clk1425_r1_20260411_095324_power.csv
clk1425_r2_20260411_095335,1425,1425,1449.0341,3.8061,26.4218,100.5635,data\raw\memory\logs\33_Large Tensor Copy\clk1425_r2_20260411_095335_power.csv
clk1425_r3_20260411_095346,1425,1425,1441.0227,3.8089,26.3285,100.2838,data\raw\memory\logs\33_Large Tensor Copy\clk1425_r3_20260411_095346_power.csv
clk1365_r1_20260411_095359,1365,1365,1383.4337,3.8111,26.0951,99.4519,data\raw\memory\logs\33_Large Tensor Copy\clk1365_r1_20260411_095359_power.csv
clk1365_r2_20260411_095409,1365,1365,1382.3864,3.8108,25.5166,97.2391,data\raw\memory\logs\33_Large Tensor Copy\clk1365_r2_20260411_095409_power.csv
clk1365_r3_20260411_095420,1365,1365,1391.0795,3.8072,25.7988,98.2210,data\raw\memory\logs\33_Large Tensor Copy\clk1365_r3_20260411_095420_power.csv
clk1305_r1_20260411_095433,1305,1305,1324.4118,3.8112,25.4434,96.9708,data\raw\memory\logs\33_Large Tensor Copy\clk1305_r1_20260411_095433_power.csv
clk1305_r2_20260411_095444,1305,1305,1333.1250,3.8068,25.0649,95.4178,data\raw\memory\logs\33_Large Tensor Copy\clk1305_r2_20260411_095444_power.csv
clk1305_r3_20260411_095455,1305,1305,1332.1978,3.8135,25.3069,96.5070,data\raw\memory\logs\33_Large Tensor Copy\clk1305_r3_20260411_095455_power.csv
clk1245_r1_20260411_095508,1245,1245,1266.3253,3.8082,25.5280,97.2147,data\raw\memory\logs\33_Large Tensor Copy\clk1245_r1_20260411_095508_power.csv
clk1245_r2_20260411_095519,1245,1245,1275.1705,3.8073,25.1065,95.5875,data\raw\memory\logs\33_Large Tensor Copy\clk1245_r2_20260411_095519_power.csv
clk1245_r3_20260411_095530,1245,1245,1275.5172,3.8077,24.9921,95.1618,data\raw\memory\logs\33_Large Tensor Copy\clk1245_r3_20260411_095530_power.csv
clk1185_r1_20260411_095543,1185,1185,1207.2353,3.8137,24.7426,94.3614,data\raw\memory\logs\33_Large Tensor Copy\clk1185_r1_20260411_095543_power.csv
clk1185_r2_20260411_095554,1185,1185,1206.7241,3.8069,24.3698,92.7731,data\raw\memory\logs\33_Large Tensor Copy\clk1185_r2_20260411_095554_power.csv
clk1185_r3_20260411_095604,1185,1185,1206.7241,3.8078,24.6632,93.9128,data\raw\memory\logs\33_Large Tensor Copy\clk1185_r3_20260411_095604_power.csv
clk1065_r1_20260411_095617,1065,1065,1090.0588,3.8089,24.2304,92.2922,data\raw\memory\logs\33_Large Tensor Copy\clk1065_r1_20260411_095617_power.csv
clk1065_r2_20260411_095628,1065,1065,1101.3068,3.8161,24.0206,91.6646,data\raw\memory\logs\33_Large Tensor Copy\clk1065_r2_20260411_095628_power.csv
clk1065_r3_20260411_095639,1065,1065,1088.6667,3.8147,23.4266,89.3651,data\raw\memory\logs\33_Large Tensor Copy\clk1065_r3_20260411_095639_power.csv
clk1005_r1_20260411_095652,1005,1005,1030.8621,3.8201,23.6218,90.2372,data\raw\memory\logs\33_Large Tensor Copy\clk1005_r1_20260411_095652_power.csv
clk1005_r2_20260411_095703,1005,1005,1042.9213,3.8150,24.1652,92.1903,data\raw\memory\logs\33_Large Tensor Copy\clk1005_r2_20260411_095703_power.csv
clk1005_r3_20260411_095714,1005,1005,1042.5000,3.8148,23.7437,90.5775,data\raw\memory\logs\33_Large Tensor Copy\clk1005_r3_20260411_095714_power.csv
clk945_r1_20260411_095727,945,945,971.6292,4.0988,24.2639,99.4536,data\raw\memory\logs\33_Large Tensor Copy\clk945_r1_20260411_095727_power.csv
clk945_r2_20260411_095739,945,945,982.8191,4.0988,23.9684,98.2425,data\raw\memory\logs\33_Large Tensor Copy\clk945_r2_20260411_095739_power.csv
clk945_r3_20260411_095750,945,945,970.7609,4.0988,23.5915,96.6965,data\raw\memory\logs\33_Large Tensor Copy\clk945_r3_20260411_095750_power.csv
clk885_r1_20260411_095804,885,885,911.7742,4.2462,24.0377,102.0690,data\raw\memory\logs\33_Large Tensor Copy\clk885_r1_20260411_095804_power.csv
clk885_r2_20260411_095815,885,885,910.6701,4.2370,23.4178,99.2224,data\raw\memory\logs\33_Large Tensor Copy\clk885_r2_20260411_095815_power.csv
clk885_r3_20260411_095827,885,885,923.5052,4.2383,23.7739,100.7600,data\raw\memory\logs\33_Large Tensor Copy\clk885_r3_20260411_095827_power.csv
clk825_r1_20260411_095841,825,825,851.1000,4.6410,23.7574,110.2590,data\raw\memory\logs\33_Large Tensor Copy\clk825_r1_20260411_095841_power.csv
clk825_r2_20260411_095853,825,825,862.6442,4.6414,23.3714,108.4774,data\raw\memory\logs\33_Large Tensor Copy\clk825_r2_20260411_095853_power.csv
clk825_r3_20260411_095906,825,825,850.3398,4.6326,23.2378,107.6521,data\raw\memory\logs\33_Large Tensor Copy\clk825_r3_20260411_095906_power.csv
clk765_r1_20260411_095920,765,765,792.3000,4.6344,23.7252,109.9523,data\raw\memory\logs\33_Large Tensor Copy\clk765_r1_20260411_095920_power.csv
clk765_r2_20260411_095933,765,765,791.7647,4.6333,23.2816,107.8709,data\raw\memory\logs\33_Large Tensor Copy\clk765_r2_20260411_095933_power.csv
clk765_r3_20260411_095945,765,765,791.5049,4.6421,23.1748,107.5802,data\raw\memory\logs\33_Large Tensor Copy\clk765_r3_20260411_095945_power.csv
clk705_r1_20260411_095959,705,705,733.7879,4.6343,23.7794,110.2002,data\raw\memory\logs\33_Large Tensor Copy\clk705_r1_20260411_095959_power.csv
clk705_r2_20260411_100012,705,705,732.1429,4.6373,23.2059,107.6129,data\raw\memory\logs\33_Large Tensor Copy\clk705_r2_20260411_100012_power.csv
clk705_r3_20260411_100024,705,705,746.1058,4.6334,23.1659,107.3376,data\raw\memory\logs\33_Large Tensor Copy\clk705_r3_20260411_100024_power.csv
clk645_r1_20260411_100039,645,645,674.7000,4.6348,23.5629,109.2097,data\raw\memory\logs\33_Large Tensor Copy\clk645_r1_20260411_100039_power.csv
clk645_r2_20260411_100051,645,645,674.1176,4.6421,23.3581,108.4311,data\raw\memory\logs\33_Large Tensor Copy\clk645_r2_20260411_100051_power.csv
clk645_r3_20260411_100104,645,645,674.1176,4.6338,23.3234,108.0767,data\raw\memory\logs\33_Large Tensor Copy\clk645_r3_20260411_100104_power.csv
clk585_r1_20260411_100118,585,585,616.2121,4.6359,23.6027,109.4191,data\raw\memory\logs\33_Large Tensor Copy\clk585_r1_20260411_100118_power.csv
clk585_r2_20260411_100130,585,585,630.0000,4.6454,23.3024,108.2492,data\raw\memory\logs\33_Large Tensor Copy\clk585_r2_20260411_100130_power.csv
clk585_r3_20260411_100143,585,585,615.0000,4.6365,23.2497,107.7970,data\raw\memory\logs\33_Large Tensor Copy\clk585_r3_20260411_100143_power.csv
clk525_r1_20260411_100157,525,525,557.1000,4.6476,23.6097,109.7287,data\raw\memory\logs\33_Large Tensor Copy\clk525_r1_20260411_100157_power.csv
clk525_r2_20260411_100210,525,525,571.2981,4.6483,23.0902,107.3312,data\raw\memory\logs\33_Large Tensor Copy\clk525_r2_20260411_100210_power.csv
clk525_r3_20260411_100223,525,525,571.2981,4.6379,23.2229,107.7056,data\raw\memory\logs\33_Large Tensor Copy\clk525_r3_20260411_100223_power.csv
